id,name,section,group,country,image
200, HANOVERIAN SCENT HOUND, Scent hounds and related breeds, Leash (scent) Hounds, GERMANY,/213g06-1.jpg
201, HELLENIC HOUND, Scent hounds and related breeds, Scent hounds, GREECE, /hellenichound.jpg
202, BICHON FRISE, Companion and Toy Dogs, Bichons and related breeds, BELGIUM AND FRANCE,/215g09-1.jpg
203, PUDELPOINTER, Pointing Dogs, Continental Pointing Dogs, GERMANY, /pudelpointer.jpg
204, BAVARIAN MOUNTAIN SCENT HOUND, Scent hounds and related breeds, Leash (scent) Hounds, GERMANY,/217g06-1.jpg
205, CHIHUAHUA, Companion and Toy Dogs, Chihuahueno, MEXICO,/218g09-1.jpg
206, FRENCH TRICOLOUR HOUND, Scent hounds and related breeds, Scent hounds, FRANCE, /frenchtricolourhound.jpg
207, FRENCH WHITE & BLACK HOUND, Scent hounds and related breeds, Scent hounds, FRANCE,/220g06.jpg
208, FRISIAN WATER DOG, Retrievers, Water Dogs, THE NETHERLANDS, /frisianwaterdog.jpg
209, STABIJHOUN, Pointing Dogs, Continental Pointing Dogs, THE NETHERLANDS,/222g07-1.jpg
210, DUTCH SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, THE NETHERLANDS, /dutchshepherddog.jpg
211, DRENTSCHE PARTRIDGE DOG, Pointing Dogs, Continental Pointing Dogs, THE NETHERLANDS,/224g07-1.jpg
212, FILA BRASILEIRO, Pinscher and Schnauzer, Molossian type, BRAZIL,/225g02.jpg
213, LANDSEER (EUROPEAN CONTINENTAL TYPE), Pinscher and Schnauzer, Molossian type, GERMANY AND SWITZERLAND, /landseer.jpg
214, LHASA APSO, Companion and Toy Dogs, Tibetan breeds, Tibet (China),/227g09.jpg
215, AFGHAN HOUND, Sighthounds, Long-haired or fringed Sighthounds, AFGHANISTAN,/228g10.jpg
216, SERBIAN TRICOLOUR HOUND, Scent hounds and related breeds, Scent hounds, SERBIA,/229g06.jpg
217, TIBETAN MASTIFF, Pinscher and Schnauzer, Molossian type, Tibet (China), /tibetanmastiff.jpg
218, TIBETAN SPANIEL, Companion and Toy Dogs, Tibetan breeds, Tibet (China),/231g09.jpg
219, DEUTSCH STICHELHAAR, Pointing Dogs, Continental Pointing Dogs, GERMANY,/232g07.jpg
220, LITTLE LION DOG, Companion and Toy Dogs, Bichons and related breeds, FRANCE,/233g09.jpg
221, XOLOITZCUINTLE, Spitz and primitive types, Primitive type, MEXICO,/234g05-1.jpg
222, GREAT DANE, Pinscher and Schnauzer, Molossian type, GERMANY,/235g02.jpg
223, AUSTRALIAN SILKY TERRIER, Terriers, Toy Terriers, AUSTRALIA,/236g03.jpg
224, NORWEGIAN BUHUND, Spitz and primitive types, Nordic Watchdogs and Herders, NORWAY,/237g05.jpg
225, MUDI, Sheepdogs and Cattledogs, Sheepdogs, HUNGARY,/238g01.jpg
226, HUNGARIAN WIRE-HAIRED POINTER, Pointing Dogs, Continental Pointing Dogs, HUNGARY,/239g07.jpg
227, HUNGARIAN GREYHOUND, Sighthounds, Short-haired Sighthounds, HUNGARY,/240g10.jpg
228, HUNGARIAN HOUND - TRANSYLVANIAN SCENT HOUND, Scent hounds and related breeds, Scent hounds, HUNGARY,/241g06.jpg
229, NORWEGIAN ELKHOUND GREY, Spitz and primitive types, Nordic Hunting Dogs, NORWAY,/242g05.jpg
230, ALASKAN MALAMUTE, Spitz and primitive types, Nordic Sledge Dogs, UNITED STATES OF AMERICA, /alaskanmalamute.jpg
231, SLOVAKIAN HOUND, Scent hounds and related breeds, Scent hounds, SLOVAKIA, /slovakianhound.jpg
